5,688000,8.0%,1.88%,60%,1018240000,12218880000,81459200,Market leadership
,,,,,,,,
SOM Revenue Breakdown,,,,,,,,
Year,Users,B2C Revenue (¥),B2B Revenue (¥),Total Revenue (¥),Total Revenue (USD),Notes,,
1,43000,763680000,152736000,916416000,6109440,B2B = 20% of B2C,,
2,129000,2291040000,458208000,2749248000,18328320,B2B = 20% of B2C,,
3,258000,4582080000,916416000,5498496000,36656640,B2B = 20% of B2C,,
4,430000,7636800000,1527360000,9164160000,61094400,B2B = 20% of B2C,,
5,688000,12218880000,2443776000,14662656000,97751040,B2B = 20% of B2C,,
,,,,,,,,
SOM Assumptions,,,,,,,,
Assumption,Value,Notes,,,,,
Average subscription price,¥1480/month,70% Basic (¥980) + 30% Premium (¥1980),,,,,
Tier distribution,70% Basic / 30% Premium,Based on income distribution and value perception,,,,,
Monthly churn rate Year 1,5%,High due to trial period and adoption challenges,,,,,
Monthly churn rate Year 3+,3%,Improved retention with proven value,,,,,
B2B revenue as % of B2C,20%,Partner integration fees and transaction revenue,,,,,
Customer acquisition cost (CAC),¥15000,Estimated for family referrals and healthcare partnerships,,,,,
Customer lifetime (months),20,Based on 3% monthly churn rate,,,,,
Customer lifetime value (LTV),¥29600,¥1480 × 20 months,,,,,
LTV:CAC ratio,1.97,¥29600 / ¥15000,,,,,
,,,,,,,,
SOM Validation,,,,,,,,
Check,Result,Status,,,,,
SOM Year 1 ≤ SAM,43000 ≤ 8600000,✓ PASS,,,,,
SOM Year 3 ≤ SAM,258000 ≤ 8600000,✓ PASS,,,,,
SOM Year 5 ≤ SAM,688000 ≤ 8600000,✓ PASS,,,,,
SOM ≤ TAM (all years),688000 ≤ 36700000,✓ PASS,,,,,
Growth rate realistic,200% → 60% (decelerating),✓ PASS,,,,,
Penetration rate conservative,8% of SAM after 5 years,✓ PASS,,,,,
,,,,,,,,
,,,,,,,,
Sensitivity Analysis,,,,,,,,
Variable Impact on Year 5 SOM,,,,,,,,
Variable,Base Case,Optimistic,Pessimistic,SOM Base,SOM Optimistic,SOM Pessimistic,Impact Range,
SAM Size,8600000,10000000,7000000,688000,800000,560000,±16%,
Penetration Rate,8.0%,12.0%,5.0%,688000,1032000,430000,±50%,
Churn Rate,3.0%,2.0%,5.0%,688000,750000,580000,±12%,
Avg Price (¥),1480,1680,1280,14662656000,16675200000,12672000000,±14%,
B2B Revenue %,20%,30%,10%,14662656000,15600000000,13400000000,±8%,
,,,,,,,,
Scenario Analysis,,,,,,,,
Scenario,SAM,Penetration,Churn,Year 5 Users,Year 5 Revenue (¥),Year 5 Revenue (USD),Notes,
Optimistic,10000000,12.0%,2.0%,1200000,24000000000,160000000,Fast adoption strong retention,
Base Case,8600000,8.0%,3.0%,688000,14662656000,97751040,Steady growth good retention,
Pessimistic,7000000,5.0%,5.0%,350000,7500000000,50000000,Slow adoption retention challenges,
,,,,,,,,
,,,,,,,,
Market Sizing Summary,,,,,,,,
Metric,Value,% of TAM,% of SAM,Notes,,,
TAM,36700000,100.0%,-,Total elderly population (65+),,,
SAM,8600000,23.4%,100.0%,Regular fax users,,,
SOM Year 1,43000,0.12%,0.5%,Urban pilot,,,
SOM Year 2,129000,0.35%,1.5%,Expansion,,,
SOM Year 3,258000,0.70%,3.0%,Nationwide,,,
SOM Year 4,430000,1.17%,5.0%,Penetration,,,
SOM Year 5,688000,1.88%,8.0%,Leadership,,,
,,,,,,,,
Validation Summary,,,,,,,,
Check,Status,Details,,,,,
TAM ≥ SAM,✓ PASS,36.7M ≥ 8.6M (23.4%),,,,,
SAM ≥ SOM Year 1,✓ PASS,8.6M ≥ 43K (0.5%),,,,,
SAM ≥ SOM Year 5,✓ PASS,8.6M ≥ 688K (8.0%),,,,,
All data sources credible,✓ PASS,Japanese government agencies,,,,,
All assumptions documented,✓ PASS,See assumptions sections,,,,,
Sensitivity analysis complete,✓ PASS,Multiple scenarios analyzed,,,,,
,,,,,,,,
Data Sources Summary,,,,,,,,
Source,Type,Date,URL,Usage,,,
Statistics Bureau of Japan,Government,Oct 2023,https://www.stat.go.jp/english/data/jinsui/index.html,Population data demographics projections,,,
Ministry of Internal Affairs and Communications,Government,Aug 2023,https://www.soumu.go.jp/johotsusintokei/statistics/statistics05.html,Technology usage fax ownership,,,
Ministry of Health Labour and Welfare,Government,Jul 2023,https://www.mhlw.go.jp/english/database/db-hw/index.html,Income levels living conditions,,,
Cabinet Office,Government,Mar 2023,https://www8.cao.go.jp/kourei/english/index.html,Attitudes preferences decision-making,,,
National Institute of Population and Social Security Research,Government,Apr 2023,https://www.ipss.go.jp/pp-ajsetai/e/index.html,Household projections,,,
